33,Poland,2.2,e,1.4,e,1.1,e,1.2,e,1,e,0.8,e,0.7,e,0.8,e,0.7,e
41,Portugal,1.1,..,1.3,..,1.2,..,1.1,..,1.2,..,1.4,..,0.9,..,1,..,0.6,..
37,Qatar,0.2,..,0.7,..,0.2,..,0.2,..,0.3,..,0.4,..,0.4,..,..,..,..,..
52,Romania,2.6,a,2.1,a,2,a,1.7,a,1.9,a,1.7,a,1.5,a,1.5,a,1.2,a
49,Russian Federation,28.1,f,24.8,f,..,..,..,..,..,..,11,f,11.3,f,11.5,f,10.8,f
158,Rwanda,..,..,..,..,2.8,..,..,..,2.4,..,3.2,..,3.8,..,2.5,..,..,..
72,Saint Kitts and Nevis,6.6,..,16.5,..,40.8,..,65.4,..,34.2,..,..,..,..,..,..,..,..,..
90,Saint Lucia,14.7,..,25,..,25.5,..,26.5,..,22.3,..,18.8,..,19.3,..,..,..,..,..
99,Saint Vincent and the Grenadines,18.5,..,23.9,..,22.9,..,19.2,..,25.6,..,..,..,..,..,..,..,36.5,..
104,Samoa,..,..,..,..,8.6,..,..,..,..,..,3.1,..,..,..,..,..,..,..
143,Sao Tome and Principe,..,..,..,..,3.4,..,3.4,..,..,..,..,..,..,..,..,..,..,..
39,Saudi Arabia,0.8,..,1.2,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,..
164,Senegal,10,..,9.3,..,8.5,..,..,..,..,..,..,..,..,..,7.4,..,..,..
67,Serbia,2.4,..,1.6,..,1.4,..,1.5,..,1.2,..,1.6,..,1.4,..,1.2,..,1.4,..
62,Seychelles,..,..,..,..,9.8,..,17.4,..,4.3,..,19.4,..,17.2,..,7.5,..,12.7,..
184,Sierra Leone,..,..,1.8,..,2.5,..,2.8,..,1.7,..,..,..,..,..,1.7,..,..,..
9,Singapore,0.9,..,0.5,..,0.4,..,0.3,..,0.2,..,0.3,..,0.3,..,0.3,..,0.3,..
38,Slovakia,2.4,..,1.7,..,1.5,..,1.6,..,1.2,..,1.3,..,1.3,..,0.8,..,1,..
25,Slovenia,1.8,..,1,..,0.7,..,0.8,..,0.7,..,0.6,..,0.8,..,1,..,0.5,..
152,Solomon Islands,..,..,5.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
113,South Africa,47.6,..,38,..,30.8,..,29.8,..,30.6,..,31.7,..,32.6,..,33.8,..,34,..
187,South Sudan,..,..,..,..,..,..,..,..,13.9,..,..,..,..,..,..,..,..,..
26,Spain,1.4,..,1.2,..,0.9,..,0.8,..,0.8,..,0.6,..,0.7,..,0.7,..,0.6,..
76,Sri Lanka,..,..,6.2,b,3.8,b,3.6,b,3.3,b,3,b,2.7,b,2.4,b,2.5,b
100,Suriname,14.4,..,13.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
7,Sweden,1.1,..,0.9,..,1,..,0.9,..,0.7,..,0.9,..,0.9,..,1.1,..,1.1,..
2,Switzerland,1,..,1,..,0.7,..,0.6,..,0.6,..,0.7,..,0.5,..,0.7,..,0.5,..
155,Syrian Arab Republic,2.2,..,2.4,..,2.2,..,..,..,..,..,..,..,..,..,..,..,..,..
127,Tajikistan,4.6,..,2.3,..,2.4,..,1.6,..,..,..,..,..,..,..,..,..,..,..
154,Tanzania (United Republic of),..,..,..,..,8.4,..,8.7,..,8.3,..,7.3,..,7.5,..,7,..,..,..
83,Thailand,8.2,..,7.3,..,5.4,..,4.9,..,4.9,..,4.2,..,3.9,..,3.5,..,3.2,..
80,The former Yugoslav Republic of Macedonia,2.3,..,2.1,..,2.1,..,1.4,..,1.4,..,1.1,..,1.6,..,..,..,..,..
132,Timor-Leste,..,..,4.5,..,3.5,..,..,..,..,..,..,..,..,..,3.9,..,..,..
165,Togo,10.5,..,10.7,..,9.6,..,..,..,..,..,..,..,..,..,9,..,..,..
98,Tonga,1,..,4,..,1,..,1.9,..,1,..,..,..,..,..,..,..,..,..
69,Trinidad and Tobago,9.5,..,29.8,..,35.6,..,26.4,..,28.3,..,30.3,..,29.9,..,30.9,..,..,..
95,Tunisia,..,..,2.6,..,2.7,..,..,..,3,..,..,..,..,..,..,..,..,..
64,Turkey,..,..,4.9,..,4.2,..,4.2,..,4.3,..,..,..,..,..,..,..,..,..
108,Turkmenistan,5.9,..,4.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
162,Uganda,..,..,8.7,..,9.3,..,10.7,..,11.2,..,10.3,..,11.5,..,..,..,..,..
88,Ukraine,9,..,6.5,..,4.3,..,..,..,5.2,..,..,..,6.3,..,..,..,..,..
